name,wikipedia_url,Does_Sam_Think_is_real,match_confidence,original_designation,OBJECTID,status,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Lawton Chiles,https://en.wikipedia.org/wiki/Lawton_Chiles,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Lawton Chiles was born on April 3, 1930, in Lakeland, Florida, and became a prominent American politician. He served as a U.S. Senator from Florida (1971–1989) and later as the 41st Governor of Florida (1991–1998), known for his progressive policies and folksy leadership style. Chiles gained national attention in 1970 for his 1,003-mile walk across Florida during his Senate campaign, symbolizing his connection with voters. He died in office on December 12, 1998, leaving a legacy as one of Florida’s most influential political figures.","['University of Florida, Bachelor of Science in Agriculture (1952)', 'University of Florida College of Law, Juris Doctor (1955)']",1930-04-03,1998-12-12,"Lakeland, Florida, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
James Henry Mills,https://en.wikipedia.org/wiki/James_Henry_Mills,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"James Henry Mills was a United States Army soldier who received the Medal of Honor for his actions during the Indian Wars. Born in the 19th century, he served as a Sergeant in Company D, 6th U.S. Cavalry, distinguishing himself in combat. Mills was recognized for bravery in a skirmish against Apache warriors in Arizona Territory on August 14, 1881. His military service and Medal of Honor citation cement his legacy in American military history.",,,,not found,not found,male,no,no,yes,no
Don Davis,https://en.wikipedia.org/wiki/Don_Davis_%28Florida_politician%29,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Don Davis was an American politician and military veteran born in 1928. He served in the U.S. Air Force before transitioning into a political career in Florida, where he became known for his community involvement. Davis played a key role in local politics, particularly in Jacksonville, and was active in civic organizations. He passed away in 2015, leaving behind a legacy of public service and military dedication.",,1928-01-01,2015-01-01,not found,not found,male,no,yes,yes,no
Eddie Mae Steward,https://en.wikipedia.org/wiki/Eddie_Mae_Steward,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Eddie Mae Steward was an African American woman notable for her service in the United States Army during World War II as a member of the 6888th Central Postal Directory Battalion, the only all-Black, all-female unit deployed overseas. Born in the early 20th century, she contributed to the war effort by sorting and redirecting mail for millions of soldiers, ensuring communication between troops and their families. Her work with the 'Six Triple Eight' battalion was critical in resolving a backlog of undelivered mail, boosting morale among servicemen. Steward's military service represents a significant yet often overlooked chapter in both women's and African American history.",,,,not found,not found,female,no,no,yes,no
Robert 'Bullet Bob' Hayes,https://en.wikipedia.org/wiki/Bob_Hayes,yes,75,,,Found,TRUE,seq=10.6; human:+40; fl:+10; us:+5,"Bob Hayes was born on December 20, 1942, and died on September 18, 2002. Known as 'Bullet Bob,' he was an Olympic gold medalist sprinter who won the 100-meter dash at the 1964 Tokyo Olympics, setting a world record. Hayes later transitioned to professional football, becoming a standout wide receiver for the Dallas Cowboys and helping revolutionize the passing game in the NFL. His dual achievements in track and football cemented his legacy as one of the most versatile athletes of the 20th century.",['Florida A&M University'],1942-12-20,2002-09-18,"Jacksonville, Florida, United States","Jacksonville, Florida, United States",male,yes,no,no,no
Fuller Warren,https://en.wikipedia.org/wiki/Fuller_Warren,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Fuller Warren was an American politician born on October 3, 1905, who served as the 30th Governor of Florida from 1949 to 1953. A member of the Democratic Party, he was known for his progressive policies, including infrastructure development and civil rights advocacy during a racially turbulent era. Before his governorship, Warren practiced law and held various political offices, including Florida Attorney General. He passed away on September 23, 1973, leaving a legacy as a reform-minded leader in Florida’s mid-20th-century political landscape.","['University of Florida, Bachelor of Arts', 'University of Florida College of Law, Juris Doctor']",1905-10-03,1973-09-23,"Blountstown, Florida, United States","Jacksonville, Florida, United States",male,no,yes,yes,no
Reubin O'Donovan Askew,https://en.wikipedia.org/wiki/Reubin_Askew,yes,75,,,Found,TRUE,seq=14.1; human:+40; fl:+10; us:+5,"Reubin Askew was born on September 11, 1928, and died on March 13, 2014. He was an American politician who served as the 37th Governor of Florida from 1971 to 1979, known for his progressive stance on civil rights and opposition to the death penalty. Askew was a key figure in the 'New South' movement, advocating for racial integration and government transparency. His political career also included roles as a state legislator and U.S. Trade Representative under President Jimmy Carter.","['Florida State University, Bachelor of Science (1951)', 'University of Florida, Juris Doctor (1956)']",1928-09-11,2014-03-13,"Muskogee, Oklahoma, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
Pat Thomas,https://en.wikipedia.org/wiki/Pat_Thomas_%28politician%29,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Pat Thomas was an American politician who served in the Georgia House of Representatives from 1983 to 2015, representing the 12th district. Known for his advocacy in education and healthcare, he became one of the longest-serving members of the Georgia legislature during his tenure. Thomas was a Democrat and held leadership roles, including chairing the House Appropriations Committee. His career was marked by bipartisan collaboration and a focus on fiscal responsibility and public service reform.",,,2023-01-01,not found,"Thomasville, Georgia, United States",male,no,yes,no,no
Harry T. and Harriette V. Moore,https://en.wikipedia.org/wiki/Harry_T._Moore,yes,75,,,Found,TRUE,seq=12.4; human:+40; fl:+10; us:+5,"Harry T. Moore was a pioneering African American civil rights leader born on November 18, 1905, in Houston, Florida. He co-founded the first branch of the NAACP in Brevard County, Florida, and fought tirelessly against racial injustice, voter suppression, and lynching in the Jim Crow South. Moore and his wife, Harriette, were assassinated in a bombing of their home on December 25, 1951, marking one of the earliest high-profile murders of civil rights activists in the U.S. His work laid critical groundwork for the broader Civil Rights Movement of the 1950s and 1960s, earning him posthumous recognition as a martyr for equality.","['Florida Memorial College (now Florida Memorial University)', ""Bethune-Cookman College (now Bethune-Cookman University), Bachelor's Degree""]",1905-11-18,1951-12-25,"Houston, Florida, United States","Mims, Florida, United States",male,no,yes,no,no
Daniel Webster,https://en.wikipedia.org/wiki/Daniel_Webster_%28Florida_politician%29,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Daniel Webster is an American politician born on April 27, 1949, in Charleston, West Virginia. He has served as a U.S. Representative for Florida since 2011, representing the state’s 11th congressional district. Prior to his federal tenure, Webster was a member of the Florida House of Representatives (1980–1998) and the Florida Senate (1998–2008), where he also served as Majority Leader. Known for his conservative stance, he has been influential in Florida’s legislative and national political landscape for over four decades.","['Georgia Institute of Technology, Bachelor of Science in Aerospace Engineering (1971)', 'Embry-Riddle Aeronautical University, Master of Business Administration (1978)']",1949-04-27,,"Charleston, West Virginia, United States",not found,male,no,yes,no,no
David Hinson,https://en.wikipedia.org/wiki/David_R._Hinson,yes,75,,,Found,TRUE,seq=17.8; human:+40; fl:+10; us:+5,"David R. Hinson was an American politician and government official. Born in 1947, he served as the Deputy Administrator of the Federal Aviation Administration (FAA) from 1993 to 1997 under President Bill Clinton. Hinson played a key role in aviation policy and regulatory oversight during his tenure. He passed away in 2020, leaving a legacy in transportation and public service.",,1947-01-01,2020-01-01,not found,not found,male,no,yes,no,no
Chelsie J. Senerchia,https://en.wikipedia.org/wiki/Chelsie_J._Senerchia,yes,75,,,Found,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Chelsie J. Senerchia is an American civic leader known for her community engagement and public service. She has been actively involved in local governance and nonprofit organizations, contributing to regional development initiatives. Her work primarily focuses on civic affairs, advocacy, and policy-making within her community. While specific birth/death dates and career milestones are not widely documented, her influence remains notable in local civic circles.",,,,not found,not found,female,no,yes,no,no
