name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
David C. Hobbs,Sheriff David C. Hobbs Memorial Highway,Jefferson,https://en.wikipedia.org/wiki/David_Hobbs_%28racing_driver%29,Found,0.0,true,seq=17.6; le-missing:-50; fl-miss:-10; county-miss:-8,"David Hobbs, born June 9, 1939, is a British former professional racing driver known for his success in Formula 5000, sports cars, and endurance racing. He competed in the 24 Hours of Le Mans 20 times and achieved victories in prestigious events like the 1971 24 Hours of Daytona. After retiring from racing, Hobbs became a well-known television commentator, covering motorsports for networks like ESPN and Speed Channel. His career spans over five decades, making him a respected figure in both racing and motorsport broadcasting.",,1939-06-09,,"Royal Leamington Spa, Warwickshire, United Kingdom",not found,male,yes,no,no,no
John C. Baxter,"Sergeant John C. Baxter, Jr. Memorial Highway",Manatee,https://en.wikipedia.org/wiki/Lydia_Baxter,Found,0.0,true,seq=10.8; mil-missing:-50; fl-miss:-10; county-miss:-8; pre1900:-35,"Lydia Baxter (1809–1874) was an American poet and hymnwriter best known for her deeply spiritual works. Born in New Hampshire, she gained prominence for her hymn The Gate Ajar for Me, which reflected her Christian faith and personal struggles. Baxter’s writings were widely published in religious periodicals and collections during the 19th century. Her contributions left a lasting impact on Protestant hymnody and devotional literature of her time.",,1809-01-01,1874-01-01,"Petersborough, New Hampshire, United States",not found,female,no,no,no,yes
Patrolman Royston E. Walker,Patrolman Royston E. Walker Memorial Highway,Dixie,https://en.wikipedia.org/wiki/2002_New_Year_Honours,Found,0.0,true,seq=5.0; last-mismatch:-4; fl-miss:-10; county-miss:-8,"The provided content is a Wikipedia navigation page for the 2002 New Year Honours list, not a biographical entry. It does not contain information about a specific individual, their birth/death dates, achievements, or profession. The page outlines categories of British honours such as Knights Bachelor and the Order of the Bath. No personal biographical data is present in the given text.",,,,not found,not found,not found,no,no,no,no
Daniel Hinton,Sergeant Daniel Hinton Memorial Highway,Lee,https://en.wikipedia.org/wiki/Blake_Converse,Found,14.4,true,seq=7.4; last-mismatch:-4; mil:+15; fl-miss:-10; county:+8,"Blake Converse is an American individual with limited publicly available biographical information. No notable achievements, profession, or historical significance are documented in the provided content. Birth and death dates remain unverified due to insufficient data. The Wikipedia entry for Blake Converse lacks substantive details beyond a placeholder page.",,,,not found,not found,not found,no,no,no,no
Jorge P. Castano,Jorge P. Castano Way,Miami-Dade,https://en.wikipedia.org/wiki/Adri%C3%A1n_Gonz%C3%A1lez,Found,47.0,true,seq=2.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Adrián González is a Mexican-American former professional baseball first baseman born May 8, 1982. He played 15 seasons in Major League Baseball (MLB) for teams including the Florida Marlins, Texas Rangers, San Diego Padres, Boston Red Sox, and Los Angeles Dodgers. Known for his powerful left-handed hitting, he earned five All-Star selections and four Gold Glove Awards during his career. González retired in 2018 after a distinguished career that included over 2,000 hits and 300 home runs.",,1982-05-08,,"San Diego, California, United States",not found,male,yes,no,no,no
Sherman L. Scott,"Trooper Sherman L. Scott, Jr. Memorial Highway",Baker,https://en.wikipedia.org/wiki/L._Scott_Caldwell,Found,5.7,true,seq=9.7; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,"L. Scott Caldwell is an American actress born on April 17, 1950, best known for her extensive work in film, television, and theater. She gained prominence for her role as Rose Henderson in the ABC drama series Lost (2004–2010), which earned her critical acclaim and a Screen Actors Guild Award nomination. Caldwell has also appeared in notable films such as The Fugitive (1993) and The Net (1995), alongside a prolific stage career that includes Broadway productions. Her contributions span over four decades, establishing her as a respected figure in American entertainment with a focus on character-driven performances.","['University of Illinois at Urbana–Champaign', 'Bachelor of Fine Arts in Theater', 'New York University, Tisch School of the Arts', 'Master of Fine Arts in Acting']",1950-04-17,,"Chicago, Illinois, United States",not found,female,no,no,no,no
Trooper Richard Howell,Trooper Richard Howell Memorial Highway,Orange,https://en.wikipedia.org/wiki/Jake_Busey,Found,0.0,true,seq=3.8; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,"Jake Busey is an American actor born on June 15, 1971, in Los Angeles, California, to actor Gary Busey. He is best known for his roles in films like Starship Troopers (1997), The Frighteners (1996), and Contact (1997), as well as his work in television and video games. Following in his father’s footsteps, Busey has built a career spanning action, sci-fi, and comedy genres over three decades. Though primarily recognized for acting, he has also made occasional appearances in music-related projects and remains active in the entertainment industry.",,1971-06-15,,"Los Angeles, California, United States",not found,male,no,no,no,yes
Frederick J. Groves,"Troopers Herman T. Morris and Frederick J. Groves, Jr. Memorial Highway",Palm Beach,https://en.wikipedia.org/wiki/San_Francisco_Sheriff%27s_Office,Found,2.0,true,seq=5.7; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5,"The provided content does not contain biographical information about an individual but instead describes the San Francisco Sheriff's Office, a law enforcement agency responsible for county jails, public safety, and legal processes in San Francisco, California. Established as part of the city's governance, it oversees facilities like the Intake & Release Center and maintains a historical list of sheriffs dating back to its founding. The agency plays a critical role in local corrections, inmate classification, and community safety initiatives. No personal details such as birth, death, or individual achievements are included in the provided text.",,,,not found,not found,not found,no,no,no,no
Trooper Wilburn A. Kelly,Trooper Wilburn A. Kelly Memorial Highway,St. Johns,https://en.wikipedia.org/wiki/No_Kings_protests_%28June_2025%29,Found,0.0,true,seq=2.9; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5,"The No Kings protests of June 2025 were a series of widespread demonstrations across the United States, driven by grassroots opposition to perceived authoritarian overreach and calls for systemic political reform. Organized primarily through decentralized networks, the protests saw significant turnout in multiple states, reflecting broad public dissatisfaction with governance structures. While specific leaders or formal organizations were not prominently identified, the movement emphasized anti-monarchist and anti-oligarchic themes in its messaging. The protests marked a notable moment in 21st-century American civic activism, though their long-term impact remains under analysis.",,,,not found,not found,not found,no,yes,no,no
Trooper Edwin J. Gasque,Trooper Edwin J. Gasque Memorial Highway,Duval,https://en.wikipedia.org/wiki/List_of_accidents_and_incidents_involving_military_aircraft_%281950%E2%80%931954%29,Found,0.0,true,seq=4.9; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40,"This content does not pertain to a biographical subject but rather documents a list of military aircraft accidents and incidents between 1950 and 1954. It serves as a historical record of aviation mishaps involving military planes during the early Cold War era. No individual person is profiled, so no birth, death, or personal achievements are applicable. The page is part of Wikipedia’s broader catalog of aviation history and safety documentation.",,,,not found,not found,not found,no,no,no,no
SSGT Edward C. Sheffield,SSGT Edward C. Sheffield Memorial Bridge,Taylor,https://en.wikipedia.org/wiki/Charles_Lindbergh,Found,27.0,true,seq=3.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Charles Lindbergh (1902–1974) was an American aviator who became a global icon after completing the first solo nonstop transatlantic flight in 1927 aboard the Spirit of St. Louis. Born in Detroit, Michigan, he revolutionized aviation and earned the Medal of Honor for his pioneering achievements in flight. Beyond aviation, Lindbergh was a controversial figure due to his isolationist political views and alleged sympathies toward Nazi Germany before World War II. His legacy remains complex, balancing groundbreaking contributions to aviation with his divisive public stances.","['University of Wisconsin–Madison, College of Engineering (dropped out)', 'United States Army Air Service Flight Training']",1902-02-04,1974-08-26,"Detroit, Michigan, United States","Kipahulu, Maui, Hawaii, United States",male,no,yes,yes,no
Trooper Alvin V. Kohler,Trooper Alvin V. Kohler Memorial Highway,Miami-Dade,https://en.wikipedia.org/wiki/2009_in_video_games,Found,0.0,true,seq=6.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8,"The content provided is not a biography of an individual but rather a Wikipedia page summarizing the year 2009 in video games. It highlights major awards, best-selling games, significant events, notable deaths in the industry, and console/game releases from that year. The page serves as a historical record of advancements, trends, and milestones within the video game sector during 2009. No personal biographical details such as birth, death, or career of an individual are included in this excerpt.",,,,not found,not found,not found,no,no,no,no
